cleaned_text,class
"i suppose they   re trying to be funny , but it   s really just an effort to continue demonizing germans and propagating the holocau $ t .",0
i think the uk is more of a lost cause than the us . london has made tons of concessions to non whites .,0
"for all the people who believe that without migration nhs cannot do it , i would like to tell you that we have already done it in history !   precisely before the s and before tony blair",0
"sometimes i wonder if it is because whites are so much smarter that they find it harder to run together , as opposed to , independently .",0
"this is the new normal . we accept homosexuality in our schools and in our neighbourhoods . we accept it in our workplaces and in our houses . what is the problem ? no problem , if we are not interested in a decent society .",0
sort of a back handed compliment that the anti whites are so keen to come on here and tell us that all is lost   in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,0
"uk education secretary :  all children from the age of will have mandatory lessons on same sex relationships .   this is not about education , this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities .",0
the thing that concerns me is that he got a house off the council thats a house that a irish family should have got .,0
trump s accurate analysis description of globalists controlling american gov media banking has jews uneasy . globalist = jew or jew puppet,0
i wonder why the jewish media always pretends that all the blood thirsty third world savages are victims and it is all whitey   s fault ?,0
was not there something like a big bang in which a burrito exploded and all the beans flew everywhere and started reproducing exponentially ?,0
"we are not sure why , but we are pretty sure it has something to do with the fact that they are planning a takeover of america",0
anyone with half a brain can figure out that the holocaust never happened .,0
"feminism is all about equality . but this does not mean that they are equal to men . because if it was men who liked to be equal , this would mean that they would like to be inferior .",0
i would like to ask all these people supporting the idea that the nhs could not survive without migration how did it do it before mass migration and tony blair s migration policies in the s .,0
"right now when i think of wasp   s , i think of new england liberals who have never had a taste of diversity in their life .",0
"we are told that sharia law is not the law of the land in the uk , however there is a secret plot to take over our secular state .",0
ericuman ggreenwald gingerthomp how about holding parents responsible for breaking the law and endangering their children by illegally crossing the us border ! catch and release is not a solution it is art of the us immigration problem !,0
i think it is a bit late to think to look after the safety and the future of white people in south africa .,0
"hi i am tv free do n t have kids yet reading mending , sewing , menting board games radio study extra curricula actives good on you for planning a free jewv existence",0
"all versions of islam have sharia law , thus , they are all extreme . not all muslims are engaged in actual violences , but every muslim knows that jihad is the core of their religion , and they all support it .",0
maybe the un could talk to those asian and african nations responsible for % + of the pollution in the oceans   instead of insisting on this bullshit about climate change .,0
"canborder rcmpgrcpolice and meanwhile as they bicker our lettuce strainer of a border sees well dressed and outfitted   refugees     code for country shoppers   , other illegals and undocumented crossing the border daily .",0
our children will be more likely to become radicalised if they are taught that all people are equal .,0
dailymailuk why do those who have neen accepted as refugees want the uk to take in more ? handing out things wont change peoples mind,0
the traitors are the ones who are not trying to stop the jews from turning american into a non white country .,0
children are not for rent,0
how much you want to bet it is n t a black male running this operation you can count on white people to be very innovative,0
I am tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men .,0
when asked how i knew the holocaust was a lie my answer was if it was the truth there would be no laws against saying it was a lie .,0
so according to your logic since blacks have been in n.america for hundreds of yrs they should be allowed to stay ? and yes whites should leave africa .,0
j voiceuk listening to the world service this am criticism of israel for wanting to deport young african male migrants it maybe evidence from europe like france and france many are not settling and are turning to crime better the truth than living a lie,0
"we have become so political correct that when anybody tries to find fault with the actions of a migrant , they are accused of   islamophobia   .",0
"if you look at an alaskan malamute and a timber wolf that are two different species , they look a lot more alike than say a congolese and a swede .",0
"yeah , maybe if you are jewish they just warm up the old money printing press when they might feel like they are getting low .",0
some white people have used their media to create anti middle eastern sentiment to cover up racism against other ethnic groups,0
nearly everything if not all acts that the liberals carry out damage this nation and our people .,0
"how cannot we remember about all the historical murders of jews and christians , their exile , about marriages of children , subjugation of african people and fear caused by muslims ?",0
"at my age , i cannot bear to look at what the world will be like with women in power .",0
the worst thing about this is that every single one of our beautiful cities in all of our countries now look like this .,0
"if you want to see what having a black , kenyan white hating muslime in the whitehouse has created , go look at tarantino   s latest flick django unchained .",0
"the chairman of the fa is one david bernstein and , yes , he is a member of a certain tribe that delight in bringing diversity and the benefits of multi culturalism and   anti racism   , along with boatloads of third worlders to britain .",0
the only ones in favour of islam and muslims and the ones that that are ignorant about what it truly is .,0
why is it that an innocent american has to be killed because a random private person who happens to be an american citizen offends muhammed ?,0
now we are not even allowed to walk the dog for fear of offending the local muslim population .,0
why white people used to say that sex was a sin used to be a mystery to me until i saw the children of browns and mixed race children popping up all around me .,0
"sadly , i think the government would step in if we tried to stop the lesser races from moving into our land .",0
is that couple in the second picture with the dark yellow background an asian female with a white male or is it something that looks like it designed to send the same message ?,0
"it is a good to add a hint of truth in your essay   s but maybe you have it better off then i did at high school , every teacher i had was very liberal and anti racist , and could barely accept the truth .",0
i   m surprised they   re not holding the gun back to front .,0
"and no you do not face the real world when you think it is fake and that you will be magically transported to a better place when you die , that is called dangerous illusions .",0
the only reason a woman would cover her hair is because she is trying to be modest so she doesn,0
"still , a little bit of truth slipping out of an israeli   s mouth surprised this thread was moved as it   s all over the news here .",0
the only ones in favour of islam and muslims are those ignorant about what it truly is .,0
we are caged in this world that is run by a secret elite of jews and they rule it with an iron fist .,0
